run_name,score,PE_BIOMASS_model,PE_BIOMASS_error,PE_OIL_model,PE_OIL_error,PE_GAS_model,PE_GAS_error,PE_COAL_model,PE_COAL_error,PE_NUCLEAR_model,PE_NUCLEAR_error,PE_HYDRO_model,PE_HYDRO_error,PE_WIND_model,PE_WIND_error,ELEC_NUCLEAR_model,ELEC_NUCLEAR_error,ELEC_HYDRO_model,ELEC_HYDRO_error,ELEC_WIND_model,ELEC_WIND_error,CO2_model,CO2_error,status,provenance,timestamp,PE_BIOMASS_err%,PE_OIL_err%,PE_GAS_err%,PE_COAL_err%,PE_NUCLEAR_err%,PE_HYDRO_err%,PE_WIND_err%,ELEC_NUCLEAR_err%,ELEC_HYDRO_err%,ELEC_WIND_err%,ELEC_CHP_model,ELEC_CHP_err%,ELEC_CONDENSATION_model,ELEC_CONDENSATION_err%,ELEC_SOLAR_model,ELEC_SOLAR_err%,CO2_err%,ELEC_GAS_model,ELEC_GAS_err%,ELEC_IMPORTS_model,ELEC_IMPORTS_err%,HEAT_DHN_model,HEAT_DHN_err%
20260319_130057__v27_half_demand,4.73,91.06,,76.58,,20.0,,35.0,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,40.05,,OK,manual,2026-03-19 13:03,8.9,6.6,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,20.17,2.7,3.58,9.0,0.02,63.4,2.8,,,,,,
20260319_155308__v28_coal_cap,4.91,99.86,,74.02,,20.0,,35.0,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,39.33,,OK,manual,2026-03-19 16:07,0.1,9.7,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,20.36,1.8,3.95,20.2,0.02,63.4,4.5,,,,,,
20260319_163357__v28c_coal_no_igcc,4.99,98.69,,74.02,,20.0,,34.99,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,39.33,,OK,manual,2026-03-19 16:44,1.3,9.7,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,20.86,0.6,2.58,21.5,0.02,63.4,4.5,,,,,,
20260323_142803__v34_gas_chp,5.05,100.29,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 14:35,0.3,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,19.36,6.6,4.79,46.0,0.04,8.5,0.1,4.66,45.5,20.83,2.0,53.02,45.3
20260323_141345__v34_gas_chp,5.05,100.29,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 14:27,0.3,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,19.36,6.6,4.79,46.0,0.04,8.5,0.1,4.66,45.5,20.83,2.0,53.02,45.3
20260323_141421__v34_gas_chp,5.05,100.29,,80.87,,20.0,,35.0,,65.08,,14.6,,4.79,,20.82,,14.6,,4.79,,41.25,,OK,manual,2026-03-23 14:28,0.3,1.4,0.0,0.0,0.1,2.7,4.1,3.6,0.0,0.1,19.36,6.6,4.79,46.0,0.04,8.5,0.1,4.66,45.5,20.83,2.0,53.02,45.3
20260319_152408__v27_full_cogen,5.23,96.39,,74.02,,20.0,,35.0,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,39.33,,OK,manual,2026-03-19 15:38,3.6,9.7,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,20.35,1.8,3.95,20.2,0.02,63.4,4.5,,,,,,
20260319_161736__v28b_coal_fmaxp,5.27,98.33,,74.02,,20.0,,35.0,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,39.33,,OK,manual,2026-03-19 16:30,1.7,9.7,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,20.35,1.9,4.09,24.5,0.02,63.4,4.5,,,,,,
20260319_131744__v27_3q_demand,5.53,90.33,,76.27,,20.0,,35.0,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,39.96,,OK,manual,2026-03-19 13:20,9.7,7.0,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,18.92,8.8,3.73,13.5,0.02,63.4,3.0,,,,,,
20260319_144028__v27_full_demand,6.28,91.21,,75.11,,20.0,,35.0,,69.72,,14.6,,4.79,,22.31,,14.6,,4.79,,39.64,,OK,manual,2026-03-19 14:58,8.8,8.4,0.0,0.0,7.3,2.7,4.1,3.3,0.0,0.1,18.09,12.7,3.93,19.6,0.02,63.4,3.8,,,,,,
calib_2017_finland_v9,39.18623433250072,43.45534860168388,56.54465139831611,0.00028715176051,99.99964981492622,29.75773062181466,48.788653109073294,22.131338979187664,36.76760291660667,56.28177542236279,13.412653196364936,15.61198061082194,4.079870738812943,6.331309949017313,26.626198980346256,20.82427773055197,3.591306803000164,15.61198061082194,6.931374046725616,6.331309949017313,31.902290604527355,16.80360213533827,59.21455792393624,,,,,,,,,,,,,,,,,,,,,,,,,,
calib_2017_finland_v10_oil_constr,39.18766227248216,49.53946245754805,50.46053754245195,38.61229049121319,52.91184086437416,0.0214175175099911,99.89291241245004,13.918592232034174,60.23259362275951,56.281802983340775,13.412610794860347,15.611973420853644,4.079822805690961,6.331305661787967,26.62611323575934,20.82428792812401,3.591259592018472,15.611973420853644,6.931324800367429,6.331305661787967,31.90220128724932,18.14750225902452,55.95266441984342,,,,,,,,,,,,,,,,,,,,,,,,,,
calib_2017_finland,42.12794841936708,66.86750753419112,33.13249246580888,70.38375452178461,14.16615302221389,27.999999564408288,39.99999782204144,2.8611524868192e-05,99.99991825278607,61.02552393729089,6.114578558014013,26.685936221787426,77.90624147858281,6.645873095848537,32.917461916970744,22.579466436264063,4.53456683455584,26.685936221787426,82.78038508073577,6.645873095848537,38.45568949684453,24.50363786339748,40.52515081699642,,,,,,,,,,,,,,,,,,,,,,,,,,
