,avail_local,c_op_local
WOOD,0,0.0
WOOD_FI1,45442,0.011
WOOD_FI2,38214,0.022
WOOD_FI3,12543,0.027
WOOD_FI4,5420,0.033
WOOD_FI5,1000000,0.070
WET_BIOMASS,1450.622309335963,0.033104312867772774
ENERGY_CROPS_2,7754.110000000001,0.023524272180704093
BIOWASTE,4720.944444444444,0.00011209561515004175
BIOMASS_RESIDUES,4985.241666666667,0.013134893664403728
WASTE,11095.02,0.00607866
