Type,Name,Cost,Capacity_F,Unit_Cost_cinv
C_inv,FI.BIOMETHANATION_BIOWASTE,3.33455e+13,3.38174e+10,986.047
C_inv,FI.BIOMASS_TO_GASOLINE,3.23076e+13,5.76097e+09,5608.01
C_inv,FI.BIOMASS_TO_DIESEL,3.23033e+13,5.7602e+09,5608.01
C_inv,FI.BIOMASS_TO_JET_FUEL,3.23028e+13,5.76012e+09,5608.01
C_inv,FI.BIOMASS_TO_LFO,3.23012e+13,5.75984e+09,5608.01
C_inv,FI.BIOWASTE_TO_GASOLINE,2.92259e+13,5.21146e+09,5608.01
C_inv,FI.BIOWASTE_TO_DIESEL,2.92224e+13,5.21084e+09,5608.01
C_inv,FI.BIOWASTE_TO_JET_FUEL,2.92229e+13,5.21091e+09,5608.01
C_inv,FI.BIOWASTE_TO_LFO,2.92219e+13,5.21075e+09,5608.01
C_inv,FI.ATM_CCS,4.80534e+13,9.31267e+09,5160
C_inv,FI.INDUSTRY_CCS,9.16109e+13,3.55081e+10,2580
C_inv,FI.POWER_TO_GASOLINE,2.45524e+13,8.21366e+09,2989.21
C_inv,FI.POWER_TO_DIESEL,2.45343e+13,8.20759e+09,2989.21
C_inv,FI.POWER_TO_JET_FUEL,2.45326e+13,8.20705e+09,2989.21
C_inv,FI.POWER_TO_LFO,2.462e+13,8.23627e+09,2989.21
C_inv,FI.H2_TO_GASOLINE,2.43488e+13,1.32742e+10,1834.29
C_inv,FI.H2_TO_DIESEL,2.43474e+13,1.32735e+10,1834.29
C_inv,FI.H2_TO_JET_FUEL,2.43488e+13,1.32742e+10,1834.29
C_inv,FI.H2_TO_LFO,2.43544e+13,1.32773e+10,1834.29
C_inv,FI.AMMONIA_TO_H2,1.93293e+13,2.83738e+10,681.24
