file,parameter,technology_or_resource,value
Technologies.csv,f_max,NUCLEAR_SMR,0
Technologies.csv,f_max,CCGT_AMMONIA,0
Technologies.csv,f_max,COAL_IGCC,0
Technologies.csv,f_max,BIOMASS_TO_POWER,0
Technologies.csv,f_max,TIDAL_STREAM,0
Technologies.csv,f_max,TIDAL_RANGE,0
Technologies.csv,f_max,WAVE,0
Technologies.csv,f_max,DEC_ADVCOGEN_GAS,0
Technologies.csv,f_max,DEC_ADVCOGEN_H2,0
Technologies.csv,f_max,BUS_COACH_HYDIESEL,0
Technologies.csv,f_max,BUS_COACH_CNG_STOICH,0
Technologies.csv,f_max,BUS_COACH_FC_HYBRIDH2,0
Technologies.csv,f_max,PLANE_H2_SHORT_HAUL,0
Technologies.csv,f_max,CAR_NG,0
Technologies.csv,f_max,CAR_METHANOL,0
Technologies.csv,f_max,CAR_FUEL_CELL,0
Technologies.csv,f_max,BOAT_FREIGHT_NG,0
Technologies.csv,f_max,BOAT_FREIGHT_METHANOL,0
Technologies.csv,f_max,CARGO_LNG,0
Technologies.csv,f_max,CARGO_METHANOL,0
Technologies.csv,f_max,CARGO_AMMONIA,0
Technologies.csv,f_max,CARGO_FUELCELL_LH2,0
Technologies.csv,f_max,CARGO_FUELCELL_AMMONIA,0
Technologies.csv,f_max,CARGO_RETRO_METHANOL,0
Technologies.csv,f_max,CARGO_RETRO_AMMONIA,0
Technologies.csv,f_max,TRUCK_METHANOL,0
Technologies.csv,f_max,TRUCK_FUEL_CELL,0
Technologies.csv,f_max,TRUCK_ELEC,0
Technologies.csv,f_max,TRUCK_NG,0
Technologies.csv,f_max,HVDC_SUBSEA,0
Technologies.csv,f_max,GAS_PIPELINE,0
Technologies.csv,f_max,GAS_SUBSEA,0
Technologies.csv,f_max,H2_RETROFITTED,0
Technologies.csv,f_max,H2_NEW,0
Technologies.csv,f_max,H2_SUBSEA_RETRO,0
Technologies.csv,f_max,H2_SUBSEA_NEW,0
Technologies.csv,f_max,H2_ELECTROLYSIS,0
Technologies.csv,f_max,H2_NG,0
Technologies.csv,f_max,H2_BIOMASS,0
Technologies.csv,f_max,BIOMASS_TO_METHANE,0
Technologies.csv,f_max,BIOWASTE_TO_METHANE,0
Technologies.csv,f_max,SYN_METHANATION,0
Technologies.csv,f_max,BIOMETHANATION_WET_BIOMASS,0
Technologies.csv,f_max,BIOMETHANATION_BIOWASTE,0
Technologies.csv,f_max,BIOMASS_TO_GASOLINE,0
Technologies.csv,f_max,BIOMASS_TO_DIESEL,0
Technologies.csv,f_max,BIOMASS_TO_JET_FUEL,0
Technologies.csv,f_max,BIOMASS_TO_LFO,0
Technologies.csv,f_max,BIOWASTE_TO_GASOLINE,0
Technologies.csv,f_max,BIOWASTE_TO_DIESEL,0
Technologies.csv,f_max,BIOWASTE_TO_JET_FUEL,0
Technologies.csv,f_max,BIOWASTE_TO_LFO,0
Technologies.csv,f_max,DIESEL_TO_JET_FUEL,0
Technologies.csv,f_max,ATM_CCS,0
Technologies.csv,f_max,INDUSTRY_CCS,0
Technologies.csv,f_max,SYN_METHANOLATION,0
Technologies.csv,f_max,METHANE_TO_METHANOL,0
Technologies.csv,f_max,BIOMASS_TO_METHANOL,0
Technologies.csv,f_max,BIOWASTE_TO_METHANOL,0
Technologies.csv,f_max,HABER_BOSCH,0
Technologies.csv,f_max,POWER_TO_GASOLINE,0
Technologies.csv,f_max,POWER_TO_DIESEL,0
Technologies.csv,f_max,POWER_TO_JET_FUEL,0
Technologies.csv,f_max,POWER_TO_LFO,0
Technologies.csv,f_max,H2_TO_GASOLINE,0
Technologies.csv,f_max,H2_TO_DIESEL,0
Technologies.csv,f_max,H2_TO_JET_FUEL,0
Technologies.csv,f_max,H2_TO_LFO,0
Technologies.csv,f_max,AMMONIA_TO_H2,0
Technologies.csv,f_max,GAS_TO_HVC,0
Technologies.csv,f_max,BIOMASS_TO_HVC,0
Technologies.csv,f_max,METHANOL_TO_HVC,0
Technologies.csv,f_max,CAES,0
Technologies.csv,f_max,H2_STORAGE,0
Technologies.csv,f_max,AMMONIA_STORAGE,0
Technologies.csv,f_max,METHANOL_STORAGE,0
Technologies.csv,f_max,CO2_STORAGE,0
