From,To,Resources,Network_type,tc_min,tc_max
IT,HR,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
IT,ME,ELECTRICITY,HVDC_SUBSEA,0.6,1.5
IT,SI,ELECTRICITY,HVAC_LINE,0.73,1.5
LT,LV,ELECTRICITY,HVAC_LINE,0.95,1.5
LT,PL,ELECTRICITY,HVAC_LINE,0.492,1.5
LT,SE,ELECTRICITY,HVDC_SUBSEA,0.7,1.5
LU,BE,ELECTRICITY,HVAC_LINE,0.68,1.5
LU,DE,ELECTRICITY,HVAC_LINE,2.3,3.45
LU,FR,ELECTRICITY,HVAC_LINE,0.38,1.5
LV,EE,ELECTRICITY,HVAC_LINE,0.95,1.65
LV,LT,ELECTRICITY,HVAC_LINE,0.95,1.5
LV,SE,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
ME,AL,ELECTRICITY,HVAC_LINE,0.4,1.5
ME,BA,ELECTRICITY,HVAC_LINE,0.5,1.5
ME,IT,ELECTRICITY,HVDC_SUBSEA,0.6,1.5
ME,RS,ELECTRICITY,HVAC_LINE,0.3,1.5
ME,XK,ELECTRICITY,HVAC_LINE,0.0,1.5
MK,AL,ELECTRICITY,HVAC_LINE,0.5,1.5
MK,BG,ELECTRICITY,HVAC_LINE,0.4,1.5
MK,GR,ELECTRICITY,HVAC_LINE,1.1,2.1
MK,RS,ELECTRICITY,HVAC_LINE,0.65,1.5
MK,XK,ELECTRICITY,HVAC_LINE,0.0,1.5
NL,BE,ELECTRICITY,HVAC_LINE,2.4,3.6
NL,DE,ELECTRICITY,HVAC_LINE,4.4,6.6
NL,DK,ELECTRICITY,HVDC_SUBSEA,0.7,1.5
NL,GB,ELECTRICITY,HVDC_SUBSEA,1.0,1.5
NL,NO,ELECTRICITY,HVDC_SUBSEA,0.7,1.5
NO,BE,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
NO,DE,ELECTRICITY,HVDC_SUBSEA,1.4,2.1
NO,DK,ELECTRICITY,HVDC_SUBSEA,1.632,2.632
NO,FR,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
NO,GB,ELECTRICITY,HVDC_SUBSEA,1.4,2.1
NO,NL,ELECTRICITY,HVDC_SUBSEA,0.7,1.5
NO,SE,ELECTRICITY,HVAC_LINE,3.995,5.9925
PL,CZ,ELECTRICITY,HVAC_LINE,1.05,2.55
PL,DE,ELECTRICITY,HVAC_LINE,3.0,4.5
PL,DK,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
PL,LT,ELECTRICITY,HVAC_LINE,0.492,1.5
PL,SE,ELECTRICITY,HVDC_SUBSEA,0.7,1.7
PL,SK,ELECTRICITY,HVAC_LINE,0.818,1.5
PT,ES,ELECTRICITY,HVAC_LINE,2.7,4.05
RO,BG,ELECTRICITY,HVAC_LINE,1.83,2.745
RO,HU,ELECTRICITY,HVAC_LINE,1.1,3.127
RO,RS,ELECTRICITY,HVAC_LINE,0.7,2.224
RS,BA,ELECTRICITY,HVAC_LINE,0.6,1.8
RS,BG,ELECTRICITY,HVAC_LINE,0.4,1.89
RS,HR,ELECTRICITY,HVAC_LINE,0.3,1.9
RS,HU,ELECTRICITY,HVAC_LINE,0.75,1.75
RS,ME,ELECTRICITY,HVAC_LINE,0.3,1.5
RS,MK,ELECTRICITY,HVAC_LINE,0.65,1.5
RS,RO,ELECTRICITY,HVAC_LINE,0.7,2.224
RS,XK,ELECTRICITY,HVAC_LINE,0.25,1.5
SE,DE,ELECTRICITY,HVDC_SUBSEA,0.615,3.515
SE,DK,ELECTRICITY,HVDC_SUBSEA,2.415,5.115
SE,EE,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
SE,FI,ELECTRICITY,HVDC_SUBSEA,2.4,4.9
SE,LT,ELECTRICITY,HVDC_SUBSEA,0.7,1.5
SE,LV,ELECTRICITY,HVDC_SUBSEA,0.0,1.5
SE,NO,ELECTRICITY,HVAC_LINE,3.995,5.9925
SE,PL,ELECTRICITY,HVDC_SUBSEA,0.7,1.7
SI,AT,ELECTRICITY,HVAC_LINE,0.95,2.45
SI,HR,ELECTRICITY,HVAC_LINE,1.2,2.2
SI,HU,ELECTRICITY,HVAC_LINE,1.2,2.2
SI,IT,ELECTRICITY,HVAC_LINE,0.73,1.5
SK,AT,ELECTRICITY,HVAC_LINE,0.0,1.5
SK,CZ,ELECTRICITY,HVAC_LINE,1.6,2.4
SK,HU,ELECTRICITY,HVAC_LINE,2.513,3.7695
SK,PL,ELECTRICITY,HVAC_LINE,0.818,1.5
XK,AL,ELECTRICITY,HVAC_LINE,0.25,1.5
XK,ME,ELECTRICITY,HVAC_LINE,0.0,1.5
XK,MK,ELECTRICITY,HVAC_LINE,0.0,1.5
XK,RS,ELECTRICITY,HVAC_LINE,0.25,1.5
AL,GR,GAS,GAS_PIPELINE,2.225,20.0
AL,IT,GAS,GAS_SUBSEA,20.29583333,30.44375
AL,ME,GAS,GAS_PIPELINE,0.0,20.0
AL,MK,GAS,GAS_PIPELINE,0.0,20.0
AL,XK,GAS,GAS_PIPELINE,0.0,20.0
AT,CH,GAS,GAS_PIPELINE,0.0,20.0
AT,CZ,GAS,GAS_PIPELINE,0.0,20.0
AT,DE,GAS,GAS_PIPELINE,14.125,21.1875
AT,HU,GAS,GAS_PIPELINE,6.375,20.0
AT,IT,GAS,GAS_PIPELINE,48.91666667,73.375
AT,SI,GAS,GAS_PIPELINE,4.708333333,20.0
AT,SK,GAS,GAS_PIPELINE,65.41666667,98.125
BA,HR,GAS,GAS_PIPELINE,0.0,20.0
BA,ME,GAS,GAS_PIPELINE,0.0,20.0
BA,RS,GAS,GAS_PIPELINE,0.75,20.0
BE,DE,GAS,GAS_PIPELINE,18.125,27.1875
BE,DK,GAS,GAS_SUBSEA,0.0,20.0
BE,FR,GAS,GAS_PIPELINE,35.0,52.5
BE,GB,GAS,GAS_SUBSEA,33.45833333,50.1875
BE,LU,GAS,GAS_PIPELINE,2.041666667,20.0
BE,NL,GAS,GAS_PIPELINE,57.79166667,86.6875
BE,NO,GAS,GAS_SUBSEA,20.33333333,30.5
BG,GR,GAS,GAS_PIPELINE,4.875,20.0
BG,MK,GAS,GAS_PIPELINE,1.141666667,20.0
BG,RO,GAS,GAS_PIPELINE,10.79166667,20.0
BG,RS,GAS,GAS_PIPELINE,16.70833333,25.0625
CH,AT,GAS,GAS_PIPELINE,0.0,20.0
CH,DE,GAS,GAS_PIPELINE,14.45833333,21.6875
CH,FR,GAS,GAS_PIPELINE,9.291666667,20.0
CH,IT,GAS,GAS_PIPELINE,26.54166667,39.8125
CZ,AT,GAS,GAS_PIPELINE,0.0,20.0
CZ,DE,GAS,GAS_PIPELINE,89.375,134.0625
CZ,PL,GAS,GAS_PIPELINE,1.166666667,20.0
CZ,SK,GAS,GAS_PIPELINE,51.91666667,77.875
DE,AT,GAS,GAS_PIPELINE,14.125,21.1875
DE,BE,GAS,GAS_PIPELINE,18.125,27.1875
DE,CH,GAS,GAS_PIPELINE,14.45833333,21.6875
DE,CZ,GAS,GAS_PIPELINE,89.375,134.0625
DE,DK,GAS,GAS_PIPELINE,5.166666667,20.0
DE,FR,GAS,GAS_PIPELINE,25.58333333,38.375
DE,LU,GAS,GAS_PIPELINE,1.0,20.0
DE,NL,GAS,GAS_PIPELINE,50.95833333,76.4375
DE,NO,GAS,GAS_SUBSEA,23.99583333,35.99375
DE,PL,GAS,GAS_PIPELINE,13.58333333,20.375
DE,SE,GAS,GAS_SUBSEA,0.0,20.0
DK,BE,GAS,GAS_SUBSEA,0.0,20.0
DK,DE,GAS,GAS_PIPELINE,5.166666667,20.0
DK,GB,GAS,GAS_SUBSEA,0.0,20.0
DK,NL,GAS,GAS_SUBSEA,0.0,20.0
DK,NO,GAS,GAS_SUBSEA,16.5,24.75
DK,PL,GAS,GAS_SUBSEA,13.41666667,20.125
DK,SE,GAS,GAS_SUBSEA,5.670833333,20.0
EE,FI,GAS,GAS_SUBSEA,0.0,20.0
EE,LV,GAS,GAS_PIPELINE,6.875,20.0
EE,SE,GAS,GAS_SUBSEA,0.0,20.0
ES,FR,GAS,GAS_PIPELINE,9.333333333,20.0
ES,PT,GAS,GAS_PIPELINE,6.0,20.0
FI,EE,GAS,GAS_SUBSEA,0.0,20.0
FI,SE,GAS,GAS_SUBSEA,0.0,20.0
FR,BE,GAS,GAS_PIPELINE,35.0,52.5
FR,CH,GAS,GAS_PIPELINE,9.291666667,20.0
FR,DE,GAS,GAS_PIPELINE,25.58333333,38.375
FR,ES,GAS,GAS_PIPELINE,9.333333333,20.0
FR,GB,GAS,GAS_SUBSEA,0.0,20.0
FR,IE,GAS,GAS_SUBSEA,0.0,20.0
FR,IT,GAS,GAS_PIPELINE,0.0,20.0
FR,LU,GAS,GAS_PIPELINE,0.0,20.0
FR,NO,GAS,GAS_SUBSEA,23.75,35.625
GB,BE,GAS,GAS_SUBSEA,33.45833333,50.1875
GB,DK,GAS,GAS_SUBSEA,0.0,20.0
GB,FR,GAS,GAS_SUBSEA,0.0,20.0
GB,IE,GAS,GAS_SUBSEA,16.12083333,24.18125
GB,NL,GAS,GAS_SUBSEA,20.58333333,30.875
GB,NO,GAS,GAS_SUBSEA,62.4625,93.69375
GR,AL,GAS,GAS_PIPELINE,2.225,20.0
GR,BG,GAS,GAS_PIPELINE,4.875,20.0
GR,IT,GAS,GAS_SUBSEA,20.58333333,30.875
GR,MK,GAS,GAS_PIPELINE,0.0,20.0
HR,BA,GAS,GAS_PIPELINE,0.0,20.0
HR,HU,GAS,GAS_PIPELINE,3.25,20.0
HR,IT,GAS,GAS_SUBSEA,0.0,20.0
HR,RS,GAS,GAS_PIPELINE,0.0,20.0
HR,SI,GAS,GAS_PIPELINE,2.25,20.0
HU,AT,GAS,GAS_PIPELINE,6.375,20.0
HU,HR,GAS,GAS_PIPELINE,3.25,20.0
HU,RO,GAS,GAS_PIPELINE,3.208333333,20.0
HU,RS,GAS,GAS_PIPELINE,10.25,20.0
HU,SI,GAS,GAS_PIPELINE,0.0,20.0
HU,SK,GAS,GAS_PIPELINE,5.375,20.0
