From,To,Resources,Network_type,tc_min,tc_max
ME,AL,H2,H2_RETROFITTED,0.0,0.0
ME,BA,H2,H2_RETROFITTED,0.0,0.0
ME,IT,H2,H2_SUBSEA_RETRO,0.0,0.0
ME,RS,H2,H2_RETROFITTED,0.0,0.0
ME,XK,H2,H2_RETROFITTED,0.0,0.0
MK,AL,H2,H2_RETROFITTED,0.0,0.0
MK,BG,H2,H2_RETROFITTED,0.0,0.716988728
MK,GR,H2,H2_RETROFITTED,0.0,0.0
MK,RS,H2,H2_RETROFITTED,0.0,0.0
MK,XK,H2,H2_RETROFITTED,0.0,0.0
NL,BE,H2,H2_RETROFITTED,0.0,36.29428341
NL,DE,H2,H2_RETROFITTED,0.0,32.00281804
NL,DK,H2,H2_SUBSEA_RETRO,0.0,0.0
NL,GB,H2,H2_SUBSEA_RETRO,0.0,12.92673108
NL,NO,H2,H2_SUBSEA_RETRO,0.0,38.7671095
NO,BE,H2,H2_SUBSEA_RETRO,0.0,12.76972625
NO,DE,H2,H2_SUBSEA_RETRO,0.0,15.06984702
NO,DK,H2,H2_SUBSEA_RETRO,0.0,10.36231884
NO,FR,H2,H2_SUBSEA_RETRO,0.0,14.91545894
NO,GB,H2,H2_SUBSEA_RETRO,0.0,39.227657
NO,NL,H2,H2_SUBSEA_RETRO,0.0,38.7671095
NO,SE,H2,H2_RETROFITTED,0.0,0.0
PL,CZ,H2,H2_RETROFITTED,0.0,0.732689211
PL,DE,H2,H2_RETROFITTED,0.0,8.530595813
PL,DK,H2,H2_SUBSEA_RETRO,0.0,8.425925926
PL,LT,H2,H2_RETROFITTED,0.0,1.517713366
PL,SE,H2,H2_SUBSEA_RETRO,0.0,0.0
PL,SK,H2,H2_RETROFITTED,0.0,4.553140097
PT,ES,H2,H2_RETROFITTED,0.0,3.768115942
RO,BG,H2,H2_RETROFITTED,0.0,6.777375201
RO,HU,H2,H2_RETROFITTED,0.0,2.01489533
RO,RS,H2,H2_RETROFITTED,0.0,0.0
RS,BA,H2,H2_RETROFITTED,0.0,0.471014493
RS,BG,H2,H2_RETROFITTED,0.0,10.4931562
RS,HR,H2,H2_RETROFITTED,0.0,0.0
RS,HU,H2,H2_RETROFITTED,0.0,6.437198068
RS,ME,H2,H2_RETROFITTED,0.0,0.0
RS,MK,H2,H2_RETROFITTED,0.0,0.0
RS,RO,H2,H2_RETROFITTED,0.0,0.0
RS,XK,H2,H2_RETROFITTED,0.0,0.0
SE,DE,H2,H2_SUBSEA_RETRO,0.0,0.0
SE,DK,H2,H2_SUBSEA_RETRO,0.0,3.561392915
SE,EE,H2,H2_SUBSEA_RETRO,0.0,0.0
SE,FI,H2,H2_SUBSEA_RETRO,0.0,0.0
SE,LT,H2,H2_SUBSEA_RETRO,0.0,0.0
SE,LV,H2,H2_SUBSEA_RETRO,0.0,0.0
SE,NO,H2,H2_RETROFITTED,0.0,0.0
SE,PL,H2,H2_SUBSEA_RETRO,0.0,0.0
SI,AT,H2,H2_RETROFITTED,0.0,2.956924316
SI,HR,H2,H2_RETROFITTED,0.0,1.413043478
SI,HU,H2,H2_RETROFITTED,0.0,0.0
SI,IT,H2,H2_RETROFITTED,0.0,0.732689211
SK,AT,H2,H2_RETROFITTED,0.0,41.08293076
SK,CZ,H2,H2_RETROFITTED,0.0,32.60466989
SK,HU,H2,H2_RETROFITTED,0.0,3.375603865
SK,PL,H2,H2_RETROFITTED,0.0,4.553140097
XK,AL,H2,H2_RETROFITTED,0.0,0.0
XK,ME,H2,H2_RETROFITTED,0.0,0.0
XK,MK,H2,H2_RETROFITTED,0.0,0.0
XK,RS,H2,H2_RETROFITTED,0.0,0.0
AL,GR,H2,H2_NEW,0.0,13.0
AL,IT,H2,H2_SUBSEA_NEW,0.0,13.0
AL,ME,H2,H2_NEW,0.0,13.0
AL,MK,H2,H2_NEW,0.0,13.0
AL,XK,H2,H2_NEW,0.0,13.0
AT,CH,H2,H2_NEW,0.0,13.0
AT,CZ,H2,H2_NEW,0.0,13.0
AT,DE,H2,H2_NEW,0.0,13.0
AT,HU,H2,H2_NEW,0.0,13.0
AT,IT,H2,H2_NEW,0.0,13.0
AT,SI,H2,H2_NEW,0.0,13.0
AT,SK,H2,H2_NEW,0.0,13.0
BA,HR,H2,H2_NEW,0.0,13.0
BA,ME,H2,H2_NEW,0.0,13.0
BA,RS,H2,H2_NEW,0.0,13.0
BE,DE,H2,H2_NEW,0.0,13.0
BE,DK,H2,H2_SUBSEA_NEW,0.0,13.0
BE,FR,H2,H2_NEW,0.0,13.0
BE,GB,H2,H2_SUBSEA_NEW,0.0,13.0
BE,LU,H2,H2_NEW,0.0,13.0
BE,NL,H2,H2_NEW,0.0,13.0
BE,NO,H2,H2_SUBSEA_NEW,0.0,13.0
BG,GR,H2,H2_NEW,0.0,13.0
BG,MK,H2,H2_NEW,0.0,13.0
BG,RO,H2,H2_NEW,0.0,13.0
BG,RS,H2,H2_NEW,0.0,13.0
CH,AT,H2,H2_NEW,0.0,13.0
CH,DE,H2,H2_NEW,0.0,13.0
CH,FR,H2,H2_NEW,0.0,13.0
CH,IT,H2,H2_NEW,0.0,13.0
CZ,AT,H2,H2_NEW,0.0,13.0
CZ,DE,H2,H2_NEW,0.0,13.0
CZ,PL,H2,H2_NEW,0.0,13.0
CZ,SK,H2,H2_NEW,0.0,13.0
DE,AT,H2,H2_NEW,0.0,13.0
DE,BE,H2,H2_NEW,0.0,13.0
DE,CH,H2,H2_NEW,0.0,13.0
DE,CZ,H2,H2_NEW,0.0,13.0
DE,DK,H2,H2_NEW,0.0,13.0
DE,FR,H2,H2_NEW,0.0,13.0
DE,LU,H2,H2_NEW,0.0,13.0
DE,NL,H2,H2_NEW,0.0,13.0
DE,NO,H2,H2_SUBSEA_NEW,0.0,13.0
DE,PL,H2,H2_NEW,0.0,13.0
DE,SE,H2,H2_SUBSEA_NEW,0.0,13.0
DK,BE,H2,H2_SUBSEA_NEW,0.0,13.0
DK,DE,H2,H2_NEW,0.0,13.0
DK,GB,H2,H2_SUBSEA_NEW,0.0,13.0
DK,NL,H2,H2_SUBSEA_NEW,0.0,13.0
DK,NO,H2,H2_SUBSEA_NEW,0.0,13.0
DK,PL,H2,H2_SUBSEA_NEW,0.0,13.0
DK,SE,H2,H2_SUBSEA_NEW,0.0,13.0
EE,FI,H2,H2_SUBSEA_NEW,0.0,13.0
EE,LV,H2,H2_NEW,0.0,13.0
EE,SE,H2,H2_SUBSEA_NEW,0.0,13.0
ES,FR,H2,H2_NEW,0.0,13.0
ES,PT,H2,H2_NEW,0.0,13.0
FI,EE,H2,H2_SUBSEA_NEW,0.0,13.0
FI,SE,H2,H2_SUBSEA_NEW,0.0,13.0
FR,BE,H2,H2_NEW,0.0,13.0
FR,CH,H2,H2_NEW,0.0,13.0
FR,DE,H2,H2_NEW,0.0,13.0
FR,ES,H2,H2_NEW,0.0,13.0
FR,GB,H2,H2_SUBSEA_NEW,0.0,13.0
FR,IE,H2,H2_SUBSEA_NEW,0.0,13.0
FR,IT,H2,H2_NEW,0.0,13.0
FR,LU,H2,H2_NEW,0.0,13.0
FR,NO,H2,H2_SUBSEA_NEW,0.0,13.0
GB,BE,H2,H2_SUBSEA_NEW,0.0,13.0
GB,DK,H2,H2_SUBSEA_NEW,0.0,13.0
GB,FR,H2,H2_SUBSEA_NEW,0.0,13.0
GB,IE,H2,H2_SUBSEA_NEW,0.0,13.0
GB,NL,H2,H2_SUBSEA_NEW,0.0,13.0
GB,NO,H2,H2_SUBSEA_NEW,0.0,13.0
GR,AL,H2,H2_NEW,0.0,13.0
GR,BG,H2,H2_NEW,0.0,13.0
GR,IT,H2,H2_SUBSEA_NEW,0.0,13.0
GR,MK,H2,H2_NEW,0.0,13.0
HR,BA,H2,H2_NEW,0.0,13.0
HR,HU,H2,H2_NEW,0.0,13.0
HR,IT,H2,H2_SUBSEA_NEW,0.0,13.0
HR,RS,H2,H2_NEW,0.0,13.0
HR,SI,H2,H2_NEW,0.0,13.0
HU,AT,H2,H2_NEW,0.0,13.0
HU,HR,H2,H2_NEW,0.0,13.0
HU,RO,H2,H2_NEW,0.0,13.0
HU,RS,H2,H2_NEW,0.0,13.0
HU,SI,H2,H2_NEW,0.0,13.0
HU,SK,H2,H2_NEW,0.0,13.0
IE,FR,H2,H2_SUBSEA_NEW,0.0,13.0
IE,GB,H2,H2_SUBSEA_NEW,0.0,13.0
IT,AL,H2,H2_SUBSEA_NEW,0.0,13.0
IT,AT,H2,H2_NEW,0.0,13.0
IT,CH,H2,H2_NEW,0.0,13.0
IT,FR,H2,H2_NEW,0.0,13.0
IT,GR,H2,H2_SUBSEA_NEW,0.0,13.0
IT,HR,H2,H2_SUBSEA_NEW,0.0,13.0
IT,ME,H2,H2_SUBSEA_NEW,0.0,13.0
IT,SI,H2,H2_NEW,0.0,13.0
LT,LV,H2,H2_NEW,0.0,13.0
LT,PL,H2,H2_NEW,0.0,13.0
LT,SE,H2,H2_SUBSEA_NEW,0.0,13.0
LU,BE,H2,H2_NEW,0.0,13.0
LU,DE,H2,H2_NEW,0.0,13.0
LU,FR,H2,H2_NEW,0.0,13.0
LV,EE,H2,H2_NEW,0.0,13.0
LV,LT,H2,H2_NEW,0.0,13.0
LV,SE,H2,H2_SUBSEA_NEW,0.0,13.0
ME,AL,H2,H2_NEW,0.0,13.0
ME,BA,H2,H2_NEW,0.0,13.0
ME,IT,H2,H2_SUBSEA_NEW,0.0,13.0
ME,RS,H2,H2_NEW,0.0,13.0
ME,XK,H2,H2_NEW,0.0,13.0
MK,AL,H2,H2_NEW,0.0,13.0
MK,BG,H2,H2_NEW,0.0,13.0
MK,GR,H2,H2_NEW,0.0,13.0
MK,RS,H2,H2_NEW,0.0,13.0
MK,XK,H2,H2_NEW,0.0,13.0
NL,BE,H2,H2_NEW,0.0,13.0
NL,DE,H2,H2_NEW,0.0,13.0
NL,DK,H2,H2_SUBSEA_NEW,0.0,13.0
NL,GB,H2,H2_SUBSEA_NEW,0.0,13.0
NL,NO,H2,H2_SUBSEA_NEW,0.0,13.0
NO,BE,H2,H2_SUBSEA_NEW,0.0,13.0
NO,DE,H2,H2_SUBSEA_NEW,0.0,13.0
NO,DK,H2,H2_SUBSEA_NEW,0.0,13.0
NO,FR,H2,H2_SUBSEA_NEW,0.0,13.0
NO,GB,H2,H2_SUBSEA_NEW,0.0,13.0
NO,NL,H2,H2_SUBSEA_NEW,0.0,13.0
NO,SE,H2,H2_NEW,0.0,13.0
PL,CZ,H2,H2_NEW,0.0,13.0
PL,DE,H2,H2_NEW,0.0,13.0
PL,DK,H2,H2_SUBSEA_NEW,0.0,13.0
PL,LT,H2,H2_NEW,0.0,13.0
PL,SE,H2,H2_SUBSEA_NEW,0.0,13.0
PL,SK,H2,H2_NEW,0.0,13.0
PT,ES,H2,H2_NEW,0.0,13.0
RO,BG,H2,H2_NEW,0.0,13.0
RO,HU,H2,H2_NEW,0.0,13.0
RO,RS,H2,H2_NEW,0.0,13.0
RS,BA,H2,H2_NEW,0.0,13.0
RS,BG,H2,H2_NEW,0.0,13.0
RS,HR,H2,H2_NEW,0.0,13.0
RS,HU,H2,H2_NEW,0.0,13.0
RS,ME,H2,H2_NEW,0.0,13.0
RS,MK,H2,H2_NEW,0.0,13.0
RS,RO,H2,H2_NEW,0.0,13.0
RS,XK,H2,H2_NEW,0.0,13.0
SE,DE,H2,H2_SUBSEA_NEW,0.0,13.0
SE,DK,H2,H2_SUBSEA_NEW,0.0,13.0
SE,EE,H2,H2_SUBSEA_NEW,0.0,13.0
SE,FI,H2,H2_SUBSEA_NEW,0.0,13.0
SE,LT,H2,H2_SUBSEA_NEW,0.0,13.0
SE,LV,H2,H2_SUBSEA_NEW,0.0,13.0
SE,NO,H2,H2_NEW,0.0,13.0
SE,PL,H2,H2_SUBSEA_NEW,0.0,13.0
SI,AT,H2,H2_NEW,0.0,13.0
SI,HR,H2,H2_NEW,0.0,13.0
SI,HU,H2,H2_NEW,0.0,13.0
SI,IT,H2,H2_NEW,0.0,13.0
SK,AT,H2,H2_NEW,0.0,13.0
SK,CZ,H2,H2_NEW,0.0,13.0
SK,HU,H2,H2_NEW,0.0,13.0
SK,PL,H2,H2_NEW,0.0,13.0
XK,AL,H2,H2_NEW,0.0,13.0
XK,ME,H2,H2_NEW,0.0,13.0
XK,MK,H2,H2_NEW,0.0,13.0
XK,RS,H2,H2_NEW,0.0,13.0
